iter	Passed	Remaining
0	169	169647
1	172	85844
2	175	58287
3	177	44266
4	179	35751
5	181	30085
6	184	26121
7	186	23072
8	188	20704
9	191	18932
10	192	17343
11	194	16018
12	196	14907
13	198	13990
14	200	13166
15	202	12437
16	204	11809
17	206	11258
18	207	10728
19	209	10256
20	210	9830
21	212	9465
22	214	9102
23	215	8770
24	217	8464
25	219	8213
26	220	7953
27	221	7700
28	222	7464
29	224	7244
30	225	7049
31	226	6860
32	227	6680
33	229	6510
34	230	6349
35	231	6196
36	232	6048
37	233	5914
38	234	5784
39	235	5655
40	236	5533
41	237	5414
42	238	5300
43	239	5200
44	240	5097
45	241	4998
46	241	4903
47	242	4813
48	243	4725
49	244	4640
50	244	4557
51	245	4476
52	246	4398
53	246	4324
54	247	4252
55	248	4193
56	249	4128
57	250	4063
58	250	4000
59	251	3939
60	252	3880
61	252	3826
62	253	3772
63	254	3720
64	255	3670
65	255	3620
66	256	3572
67	257	3526
68	258	3481
69	258	3437
70	259	3395
71	260	3354
72	260	3314
73	261	3274
74	262	3237
75	263	3207
76	264	3171
77	265	3135
78	265	3099
79	266	3066
80	267	3034
81	268	3002
82	268	2967
83	269	2937
84	270	2907
85	270	2878
86	271	2849
87	272	2821
88	272	2794
89	273	2767
90	274	2741
91	275	2715
92	275	2690
93	276	2666
94	277	2646
95	278	2625
96	279	2602
97	280	2579
98	281	2558
99	281	2536
100	282	2515
101	283	2494
102	284	2473
103	284	2453
104	285	2433
105	286	2413
106	286	2394
107	287	2376
108	288	2357
109	289	2339
110	289	2321
111	290	2303
112	291	2286
113	292	2272
114	293	2259
115	294	2243
116	295	2226
117	295	2210
118	296	2195
119	297	2179
120	297	2163
121	298	2146
122	298	2131
123	299	2116
124	300	2102
125	300	2087
126	301	2072
127	302	2058
128	302	2044
129	303	2030
130	304	2016
131	304	2003
132	305	1990
133	305	1977
134	306	1964
135	307	1956
136	309	1946
137	309	1935
138	310	1924
139	311	1912
140	312	1901
141	312	1889
142	313	1878
143	314	1868
144	314	1857
145	315	1846
146	316	1835
147	317	1825
148	317	1815
149	318	1804
150	319	1794
151	319	1784
152	320	1774
153	321	1765
154	322	1759
155	323	1751
156	324	1742
157	325	1733
158	325	1723
159	326	1714
160	327	1704
161	328	1696
162	328	1688
163	329	1679
164	330	1670
165	330	1662
166	331	1653
167	332	1644
168	332	1636
169	333	1628
170	334	1619
171	334	1611
172	335	1603
173	336	1595
174	337	1590
175	338	1583
176	339	1576
177	339	1568
178	340	1561
179	341	1553
180	341	1546
181	342	1538
182	342	1531
183	343	1523
184	344	1516
185	344	1509
186	345	1502
187	346	1494
188	346	1487
189	347	1481
190	348	1474
191	348	1467
192	349	1461
193	350	1454
194	350	1447
195	351	1442
196	352	1437
197	353	1431
198	354	1424
199	354	1418
200	355	1412
201	356	1406
202	356	1400
203	357	1394
204	358	1388
205	358	1383
206	359	1377
207	360	1371
208	360	1365
209	361	1359
210	362	1353
211	362	1348
212	363	1342
213	363	1336
214	364	1331
215	365	1325
216	366	1320
217	367	1318
218	368	1313
219	369	1309
220	369	1303
221	370	1298
222	371	1293
223	371	1288
224	372	1283
225	373	1278
226	373	1273
227	374	1268
228	375	1263
229	376	1259
230	376	1254
231	377	1249
232	378	1244
233	378	1239
234	379	1234
235	380	1231
236	381	1227
237	382	1224
238	383	1220
239	383	1215
240	384	1211
241	385	1206
242	385	1202
243	386	1198
244	387	1193
245	388	1189
246	388	1185
247	389	1180
248	390	1176
249	390	1172
250	391	1168
251	392	1164
252	392	1160
253	393	1155
254	394	1151
255	394	1147
256	395	1143
257	396	1141
258	397	1138
259	398	1134
260	399	1130
261	399	1126
262	400	1122
263	401	1119
264	402	1115
265	402	1111
266	403	1107
267	404	1103
268	404	1099
269	405	1096
270	406	1092
271	406	1089
272	407	1085
273	408	1082
274	409	1078
275	409	1075
276	411	1074
277	412	1071
278	413	1067
279	413	1064
280	414	1061
281	415	1057
282	416	1054
283	416	1051
284	417	1047
285	418	1044
286	419	1041
287	419	1037
288	420	1034
289	421	1031
290	422	1028
291	422	1025
292	423	1022
293	424	1018
294	425	1016
295	426	1013
296	427	1010
297	427	1007
298	428	1005
299	429	1002
300	430	998
301	430	995
302	431	992
303	432	989
304	433	986
305	433	983
306	434	980
307	435	977
308	435	974
309	436	972
310	437	969
311	438	966
312	439	964
313	440	961
314	441	959
315	441	956
316	442	953
317	443	950
318	443	947
319	444	944
320	445	942
321	446	939
322	446	936
323	447	933
324	448	931
325	449	928
326	449	925
327	450	923
328	451	920
329	452	918
330	452	915
331	453	912
332	454	910
333	455	907
334	456	906
335	457	903
336	458	901
337	458	898
338	459	896
339	460	893
340	461	891
341	462	888
342	462	886
343	463	884
344	464	881
345	465	879
346	465	876
347	466	874
348	467	871
349	467	868
350	468	865
351	468	863
352	470	861
353	471	859
354	471	857
355	472	854
356	473	852
357	473	849
358	474	847
359	475	845
360	476	843
361	477	840
362	477	838
363	478	836
364	479	834
365	480	831
366	480	829
367	481	827
368	482	824
369	483	822
370	483	820
371	485	819
372	486	816
373	486	814
374	487	812
375	487	809
376	488	807
377	489	805
378	490	803
379	490	800
380	491	798
381	492	796
382	492	794
383	493	791
384	494	789
385	494	787
386	495	784
387	496	782
388	496	780
389	497	778
390	498	775
391	498	773
392	499	771
393	500	770
394	501	768
395	502	766
396	502	763
397	503	761
398	504	759
399	505	757
400	505	755
401	506	753
402	507	751
403	508	749
404	508	747
405	509	745
406	510	743
407	510	740
408	511	738
409	511	736
410	512	734
411	513	732
412	513	730
413	515	729
414	515	727
415	516	725
416	517	723
417	518	721
418	518	719
419	519	717
420	520	715
421	520	713
422	521	711
423	522	709
424	522	707
425	523	705
426	524	703
427	524	701
428	525	699
429	525	697
430	526	695
431	527	693
432	527	691
433	528	689
434	529	687
435	530	686
436	531	684
437	532	683
438	533	681
439	534	679
440	535	678
441	535	676
442	536	674
443	537	672
444	538	671
445	538	669
446	539	667
447	540	665
448	541	664
449	541	662
450	542	660
451	543	658
452	544	658
453	546	656
454	546	654
455	547	653
456	548	651
457	549	649
458	550	648
459	550	646
460	551	645
461	552	643
462	553	641
463	554	640
464	555	638
465	556	637
466	556	635
467	557	633
468	559	633
469	560	632
470	561	630
471	562	629
472	563	627
473	564	625
474	564	624
475	565	622
476	566	620
477	566	619
478	567	617
479	568	615
480	569	614
481	569	612
482	570	610
483	571	609
484	572	607
485	573	606
486	574	605
487	575	604
488	576	602
489	577	600
490	577	599
491	578	597
492	579	595
493	579	593
494	580	592
495	581	590
496	581	588
497	582	587
498	583	585
499	583	583
500	584	582
501	585	580
502	586	579
503	587	577
504	587	576
505	589	575
506	590	574
507	591	572
508	591	571
509	592	569
510	593	567
511	593	566
512	594	564
513	595	562
514	595	561
515	596	559
516	597	557
517	597	556
518	598	554
519	599	553
520	600	551
521	600	550
522	601	548
523	602	547
524	603	546
525	604	545
526	605	543
527	607	542
528	608	541
529	609	540
530	610	539
531	611	537
532	612	536
533	613	535
534	614	534
535	615	533
536	616	531
537	617	530
538	619	529
539	620	528
540	622	527
541	623	526
542	624	525
543	625	524
544	626	522
545	632	525
546	633	524
547	635	524
548	637	523
549	638	522
550	639	520
551	640	519
552	643	520
553	647	521
554	648	519
555	649	518
556	651	517
557	652	516
558	653	515
559	654	514
560	655	512
561	656	511
562	657	510
563	658	509
564	660	508
565	661	506
566	666	508
567	667	507
568	674	510
569	675	509
570	676	508
571	677	507
572	678	505
573	679	504
574	681	503
575	682	502
576	685	502
577	686	501
578	692	503
579	693	502
580	694	501
581	699	502
582	700	500
583	702	500
584	703	499
585	704	497
586	705	496
587	706	495
588	707	493
589	708	492
590	709	490
591	710	489
592	710	487
593	712	487
594	713	485
595	714	484
596	715	482
597	716	481
598	717	480
599	718	479
600	719	477
601	720	476
602	721	475
603	723	474
604	724	472
605	725	471
606	726	470
607	728	469
608	729	468
609	730	466
610	731	465
611	732	464
612	733	463
613	734	461
614	735	460
615	737	459
616	738	458
617	744	460
618	745	459
619	748	458
620	749	457
621	750	455
622	751	454
623	755	455
624	756	454
625	758	453
626	759	451
627	760	450
628	761	449
629	762	447
630	763	446
631	764	445
632	765	444
633	767	442
634	768	441
635	769	440
636	770	439
637	773	438
638	774	437
639	775	436
640	776	435
641	777	433
642	781	433
643	782	432
644	784	431
645	785	430
646	788	430
647	789	428
648	790	427
649	791	426
650	792	425
651	794	423
652	795	422
653	796	421
654	797	419
655	801	420
656	803	419
657	804	418
658	806	417
659	807	415
660	809	415
661	810	413
662	811	412
663	813	411
664	819	412
665	820	411
666	821	410
667	822	409
668	824	407
669	825	406
670	826	405
671	827	403
672	828	402
673	829	401
674	830	400
675	831	398
676	835	398
677	837	397
678	838	396
679	839	395
680	840	393
681	841	392
682	842	391
683	844	389
684	845	388
685	846	387
686	847	386
687	849	385
688	850	383
689	851	382
690	852	381
691	853	379
692	854	378
693	856	377
694	857	376
695	858	374
696	859	373
697	860	372
698	861	371
699	862	369
700	864	368
701	865	367
702	866	366
703	868	365
704	872	364
705	873	363
706	874	362
707	876	361
708	877	360
